Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,,,,,,,,,
Stock-based compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,66381000.0,525968000.0,175176000.0,163714000.0,-618000.0,-1647134000.0,-1148059000.0,-536471000.0,-73323000.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Issuance (repayment) of debt,13303000.0,-131296000.0,-25512000.0,190145000.0,23969000.0,1095427000.0,257085000.0,297201000.0,0.0
Issuance (buybacks) of shares,0.0,0.0,0.0,-258903000.0,-33806000.0,785024000.0,1112275000.0,283773000.0,84787000.0
Dividend payments,-218209000.0,-216662000.0,-179398000.0,-268642000.0,-210485000.0,-191446000.0,-78670000.0,-19449000.0,-2518000.0
Financing Cash Flow,-192237000.0,-343357000.0,-190033000.0,-294198000.0,-110949000.0,1775315000.0,1319983000.0,566226000.0,81358000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-125856000.0,182611000.0,-14857000.0,-130484000.0,-111567000.0,128181000.0,171924000.0,29755000.0,8035000.0
Free Cash Flow,66381000.0,525968000.0,175176000.0,163714000.0,-618000.0,-1647134000.0,-1148059000.0,-536471000.0,-73323000.0
Net Cash/Marketcap,,,,,,,,,
