Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,100000.0,100000.0,100000.0
Stock-based compensation,0.0,0.0,0.0
Operating Cash Flow,3740619.0,1221017.0,1221017.0
Capital Expenditure,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,-6081663.0,-1543845.0,-1543845.0
Investing Cash flow,-6081663.0,-1543845.0,-1543845.0
Issuance (repayment) of debt,-594545.0,-55233.0,-55233.0
Issuance (buybacks) of shares,0.0,0.0,0.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,-594545.0,-55233.0,-55233.0
Effect of forex changes on cash,0.0,0.0,0.0
Net cash flow / Change in cash,-2935589.0,-378061.0,-378061.0
Free Cash Flow,3740619.0,1221017.0,1221017.0
Net Cash/Marketcap,,,
